,0
0,99685757.17025715
1,515725.22443157714
2,343305.67700754426
3,281573.09355312196
4,244456.02799578456
5,199359.36612831865
6,50654.94267401951
7,31113.911537489024
8,26088.063967317343
9,18558.203126159166
10,14025.747603796342
11,4152.260770576112
12,3371.682403809426
13,3062.121451895542
14,2792.3891114220046
15,1518.7098495217338
16,850.4982908999505
17,616.5062200352976
18,356.57298034555623
19,203.9954380660943
20,8.743625680084405
21,8.372699869038687
22,3.0671848434424915
23,2.3356596503774654
24,1.8763149837496427
25,1.727256930675591
26,1.4381707015603047
27,1.235891516501773
28,1.1265067786866598
29,1.0102725845732219
30,0.9429633343541746
31,0.883668647762779
32,0.8406081197168894
33,0.7820364453041236
34,0.7150654436027789
35,0.665871617273634
36,0.6065209946675754
37,0.5263473545707231
38,0.44261649181984986
39,0.40346091416299956
40,0.3523124828246586
41,0.31523734591895675
42,0.296363856445352
43,0.283193819636946
44,0.2774721408639318
45,0.2598163551544698
46,0.2440847856280283
47,0.23719083648955472
48,0.2322480086383725
49,0.20796518320719076
50,0.20074931461367732
51,0.19178800501520205
52,0.17838999691394947
53,0.17190335035625462
54,0.16536501234227993
55,0.16448833239672417
56,0.1452289102490551
57,0.14139051283114923
58,0.13241222255740553
59,0.12820310249171457
60,0.12298220748014904
61,0.1064646708256053
62,0.09977589791155331
63,0.0994734564531814
64,0.0983347066861993
65,0.09577413657555583
66,0.09119914877381098
67,0.08565012625175039
68,0.07906772241782845
69,0.0772417819761838
70,0.07262146828497125
71,0.06972053125428222
72,0.06845125146455316
73,0.06345173561921212
74,0.06075589803377833
75,0.05588614166742063
76,0.05438730035351049
77,0.05144820726454006
78,0.0497590372586547
79,0.04723671888088946
80,0.045265390012690435
81,0.04472078775157198
82,0.04392901386766499
83,0.04223683748020024
84,0.04103788280445426
85,0.04048813627019642
86,0.03863970058429221
87,0.03763147822568537
88,0.0366411453550815
89,0.03516144835807822
90,0.033365804852732925
91,0.032248996707151145
92,0.03150207920320732
93,0.029959947344495762
94,0.029341141396530008
95,0.027355993387271002
96,0.02727048493984632
97,0.0266302075674437
98,0.02490523187746946
99,0.024450485314681667
100,0.02318488507037489
101,0.022724066535479433
102,0.021824891572489066
103,0.020847619672816654
104,0.01974870202938013
105,0.018817758232310633
106,0.01789805424135004
107,0.017795534183520936
108,0.01730870797420521
109,0.016131744508020483
110,0.0158251140099008
111,0.015439923603074801
112,0.01465093676076137
113,0.013883373725955427
114,0.013267903677178504
115,0.012504833446837173
116,0.012132112614245771
117,0.011955198407250334
118,0.011730691171661685
119,0.010933772899485246
120,0.01040847789658784
121,0.009814535822292933
122,0.009744978753229926
123,0.009497244959923113
124,0.009199064463838991
125,0.008973034542788583
126,0.00827157002676524
127,0.00806658215023681
128,0.007851842492727863
129,0.007326474383101729
130,0.007007518126157956
131,0.006991274134282768
132,0.006478847718215439
133,0.006400446352154392
134,0.00611774219451501
135,0.006021519670930148
136,0.005747892776504786
137,0.0055667399440977716
138,0.005440173128042669
139,0.005352712348586375
140,0.004994408669039208
141,0.004690344159830262
142,0.004401483177937664
143,0.004274831504852356
144,0.004058659542810283
145,0.003892207873767023
146,0.0037302680575027913
147,0.003543667722195443
148,0.003457021568812361
149,0.00341381000335203
150,0.0032653824398471394
151,0.0031348557790224383
152,0.0030739163300960225
153,0.0029093605611061604
154,0.002834651490869252
155,0.002758352675070133
156,0.0027050714284764447
157,0.0025075156785319894
158,0.002456651560221002
159,0.002383665393197483
160,0.002194248746564478
161,0.002102876998129059
162,0.0019847433928817447
163,0.0019508281239151717
164,0.0018854323716299228
165,0.0018543449210582468
166,0.0016543608284751486
167,0.0016168837930900957
168,0.0014978715242737807
169,0.0014428414363611812
170,0.0013986894228546366
171,0.001351341077344985
172,0.0013336548654772373
173,0.0012797314864870085
174,0.0012411689204023905
175,0.0011964295152711143
176,0.001100705981756285
177,0.0010380267429742815
178,0.0009456380359252375
179,0.0009407021762735018
180,0.0008337138814923253
181,0.0007252418050951754
182,0.0007057490513161929
183,0.0007010694042417154
184,0.0006679646478249825
185,0.0006448916042119139
186,0.0006196028648137387
187,0.0005961646511266315
188,0.0005643918272456663
189,0.0005180737865484856
190,0.00045886912391942836
191,0.0004202069049536187
192,0.00033681620527539643
193,0.0002682017026399422
194,0.00022728437849889167
195,4.1418110734339784e-05
196,3.160254241023965e-05
197,8.962584517470013e-25
198,8.962584517470013e-25
199,8.962584517470013e-25
200,8.962584517470013e-25
201,8.962584517470013e-25
202,8.962584517470013e-25
203,8.962584517470013e-25
204,8.962584517470013e-25
205,8.962584517470013e-25
206,8.962584517470013e-25
207,8.962584517470013e-25
208,8.962584517470013e-25
209,8.962584517470013e-25
210,8.962584517470013e-25
211,8.962584517470013e-25
212,8.962584517470013e-25
213,8.962584517470013e-25
214,8.962584517470013e-25
215,8.962584517470013e-25
216,8.962584517470013e-25
217,8.962584517470013e-25
218,8.962584517470013e-25
219,3.3373688982661066e-26
